"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"AY1",668.405,"Z","S1",0,0,"0_ance","G3R",0
"AY1",441.722,"Z","S1",1,1,"0_gir4","GIR",1
"AY1",245.983,"Z","S1",2,2,"2_lugal","KU",0
"AY1",718.318,"Z","E2",0,5,"0_sanga","TU3R",0
"AY1",188.588,"Z","E2",1,1,"0_dam","NIN",0
"AY1",58.995,"Z","E2",2,8,"1_gal","GAL",1
"AY1",127.46,"Z","E2",3,10,"2_duh","AS",0
"AY1",376.101,"Z","E2",4,9,"2_alam","GIG",0
"AY1",91.533,"Z","E2",5,15,"4_tu7","GI3R",0
"AY1",74.461,"Z","E2",6,4,"0_pu2","DU2R",0
"AY1",412.462,"Z","E2",7,7,"1_ama","GIGIR",0
"AY1",253.835,"Z","E2",8,2,"0_hub","IB",0
"AY1",36.186,"Z","E2",9,13,"3_inanna","HAL",0
"AY1",153.598,"Z","E2",10,6,"0_sipa","SIPA",1
"AY1",82.631,"Z","E2",11,11,"2_gig","GIG",1
"AY1",233.838,"Z","E2",12,0,"0_ca3","GUL",0
"AY1",115.049,"Z","E2",13,12,"2_urudu","UM",1
"AY1",277.517,"Z","E2",14,14,"3_sir3","GURU",0
"AY1",250.655,"Z","E2",15,3,"0_kid","GE2",1
"AY1",468.389,"H","S2",0,0,"0_ejir","EGIR",1
"AY1",103.43,"H","S2",1,1,"0_ku7","KU7",1
"AY1",274.117,"H","S2",2,2,"2_siskur","SISKUR",1
"AY1",279.72,"H","E1",0,13,"3_mac2","MA2C",1
"AY1",211.858,"H","E1",1,6,"0_ziz2","TA2C",0
"AY1",131.361,"H","E1",2,8,"1_tur","GAL",0
"AY1",224.573,"H","E1",3,12,"2_nag","SI2G",0
"AY1",481.779,"H","E1",4,0,"0_cudun3","CINIG",0
"AY1",54.962,"H","E1",5,1,"0_gur","GUR",1
"AY1",143.285,"H","E1",6,7,"1_gag","QAQ",1
"AY1",228.501,"H","E1",7,10,"2_gada","NITA",0
"AY1",92.32,"H","E1",8,4,"0_nita2","ARAD",1
"AY1",63.154,"H","E1",9,3,"0_kiri6","CAR",1
"AY1",155.776,"H","E1",10,15,"4_6","LA2L",1
"AY1",59.643,"H","E1",11,11,"2_gir3","GE2ME",0
"AY1",407.864,"H","E1",12,5,"0_sig2+munus","SI2G",0
"AY1",172.67,"H","E1",13,14,"3_sa5","CUR",0
"AY1",42.651,"H","E1",14,9,"2_dugud","GE6",1
"AY1",258.113,"H","E1",15,2,"0_kac4","MACKIM",0
