"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"BX2",90.518,"S","S1",0,0,"0_ance","ANŠE",1
"BX2",135.818,"S","S1",1,1,"0_gir4","GIR₄",1
"BX2",274.791,"S","S1",2,2,"2_lugal","LUGAL",1
"BX2",121.996,"S","E2",0,8,"1_gal","GAL",1
"BX2",683.325,"S","E2",1,15,"4_tu7","NIGA",1
"BX2",90.21,"S","E2",2,1,"0_dam","DAM",1
"BX2",41.46,"S","E2",3,12,"2_urudu","AB",1
"BX2",208.154,"S","E2",4,2,"0_hub","GÙB",1
"BX2",53.511,"S","E2",5,3,"0_kid","LÍL",1
"BX2",38.973,"S","E2",6,6,"0_sipa","SIPA(D)",1
"BX2",264.891,"S","E2",7,4,"0_pu2","TÚL",1
"BX2",84.907,"S","E2",8,10,"2_duh","DU₈",1
"BX2",178.204,"S","E2",9,9,"2_alam","ALAN",1
"BX2",147.469,"S","E2",10,13,"3_inanna","SÌL(A)",0
"BX2",130.906,"S","E2",11,11,"2_gig","GIG",1
"BX2",97.999,"S","E2",12,7,"1_ama","AMA",1
"BX2",164.471,"S","E2",13,14,"3_sir3","ga₁₄",1
"BX2",107.135,"S","E2",14,0,"0_ca3","ŠÀ",1
"BX2",148.254,"S","E2",15,5,"0_sanga","SANGA",1
"BX2",299.964,"Z","S2",0,0,"0_ejir","KAC4",0
"BX2",280.456,"Z","S2",1,1,"0_ku7","AL",1
"BX2",199.262,"Z","S2",2,2,"2_siskur","SISKUR",1
"BX2",257.569,"Z","E3",0,6,"0_zu9","ZU9",1
"BX2",45.88,"Z","E3",1,7,"1_2","MIN",1
"BX2",142.239,"Z","E3",2,4,"0_hur","HAR",1
"BX2",73.205,"Z","E3",3,3,"0_gu4","GU4",1
"BX2",147.078,"Z","E3",4,12,"2_mec","UCU3",1
"BX2",207.44,"Z","E3",5,5,"0_sa","SA",1
"BX2",76.457,"Z","E3",6,11,"2_lal3","KAC",1
"BX2",204.652,"Z","E3",7,2,"0_ezen4","EZEN4",1
"BX2",171.55,"Z","E3",8,9,"2_dug","SE24",0
"BX2",210.926,"Z","E3",9,14,"3_zag","DA",0
"BX2",149.717,"Z","E3",10,0,"0_bal","BAL",1
"BX2",86.351,"Z","E3",11,1,"0_elam","DIH3",1
"BX2",78.34,"Z","E3",12,8,"1_iku","GA3",1
"BX2",97.195,"Z","E3",13,15,"4_dub","GIC",1
"BX2",396.926,"Z","E3",14,10,"2_e2","LAH3",1
"BX2",107.144,"Z","E3",15,13,"3_sag","GAD",0
