"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"CY1",631.66,"Z","S1",0,0,"0_ance","ANCE",1
"CY1",113.041,"Z","S1",1,1,"0_gir4","GIR4",1
"CY1",279.34,"Z","S1",2,2,"2_lugal","dim",0
"CY1",245.567,"Z","E1",0,10,"2_gada","GU4",0
"CY1",104.608,"Z","E1",1,11,"2_gir3","GI3R",1
"CY1",246.281,"Z","E1",2,0,"0_cudun3","DA3RA",0
"CY1",146.327,"Z","E1",3,15,"4_6","LIC",0
"CY1",424.952,"Z","E1",4,12,"2_nag","CEN",0
"CY1",123.004,"Z","E1",5,2,"0_kac4","KAC4",1
"CY1",211.64,"Z","E1",6,5,"0_sig2+munus","SI2G+MUNUS",1
"CY1",92.755,"Z","E1",7,6,"0_ziz2","A2C",1
"CY1",407.853,"Z","E1",8,14,"3_sa5","INNIN",0
"CY1",69.699,"Z","E1",9,9,"2_dugud","GI2G",1
"CY1",195.179,"Z","E1",10,7,"1_gag","UZ6",1
"CY1",98.784,"Z","E1",11,4,"0_nita2","ARAD",1
"CY1",67.925,"Z","E1",12,1,"0_gur","GUR",1
"CY1",115.113,"Z","E1",13,3,"0_kiri6","sar",1
"CY1",117.581,"Z","E1",14,8,"1_tur","tur",1
"CY1",151.973,"Z","E1",15,13,"3_mac2","TI3L",1
"CY1",260.78,"H","S2",0,0,"0_ejir","EGIR",1
"CY1",166.586,"H","S2",1,1,"0_ku7","KU7",1
"CY1",138.391,"H","S2",2,2,"2_siskur","SISKUR",1
"CY1",99.458,"H","E3",0,12,"2_mec","ÙŠU",1
"CY1",166.08,"H","E3",1,8,"1_iku","gán",1
"CY1",138.333,"H","E3",2,14,"3_zag","GÍR",0
"CY1",264.184,"H","E3",3,15,"4_dub","ḫap",1
"CY1",116.567,"H","E3",4,10,"2_e2","pit",1
"CY1",349.698,"H","E3",5,13,"3_sag","MÁ",1
"CY1",79.329,"H","E3",6,0,"0_bal","BAL",1
"CY1",78.278,"H","E3",7,7,"1_2","MIN",1
"CY1",427.702,"H","E3",8,2,"0_ezen4","EZEN₄",1
"CY1",155.4,"H","E3",9,11,"2_lal3","tap",1
"CY1",67.228,"H","E3",10,1,"0_elam","nim",1
"CY1",165.176,"H","E3",11,4,"0_hur","kín",1
"CY1",91.005,"H","E3",12,3,"0_gu4","GU₄",1
"CY1",237.586,"H","E3",13,5,"0_sa","SA ",1
"CY1",158.33,"H","E3",14,9,"2_dug","DUG",1
"CY1",252.676,"H","E3",15,6,"0_zu9","ZU₉",1
