"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"BY1",264.749,"Z","S1",0,0,"0_ance","ANCE",1
"BY1",277.269,"Z","S1",1,1,"0_gir4",266,1
"BY1",188.753,"Z","S1",2,2,"2_lugal",6,0
"BY1",262.206,"Z","E3",0,3,"0_gu4","GUD",1
"BY1",173.564,"Z","E3",1,4,"0_hur","HAR",1
"BY1",358.721,"Z","E3",2,5,"0_sa","SA",1
"BY1",236.64,"Z","E3",3,2,"0_ezen4","EZEN",1
"BY1",109.572,"Z","E3",4,14,"3_zag",6,0
"BY1",114.607,"Z","E3",5,13,"3_sag","GADA",0
"BY1",519.707,"Z","E3",6,1,"0_elam","DUL",0
"BY1",517.053,"Z","E3",7,9,"2_dug","BAL",0
"BY1",65.137,"Z","E3",8,8,"1_iku","IKU",1
"BY1",140.832,"Z","E3",9,11,"2_lal3",83,1
"BY1",87.165,"Z","E3",10,0,"0_bal",4,1
"BY1",114.084,"Z","E3",11,10,"2_e2","NUN",1
"BY1",72.449,"Z","E3",12,15,"4_dub",173,1
"BY1",124.169,"Z","E3",13,12,"2_mec",360,1
"BY1",59.036,"Z","E3",14,7,"1_2","SILA",0
"BY1",172.008,"Z","E3",15,6,"0_zu9",140,1
"BY1",191.861,"H","S2",0,0,"0_ejir","KAS",0
"BY1",43.201,"H","S2",1,1,"0_ku7","KU",0
"BY1",43.664,"H","S2",2,2,"2_siskur","SISKUR",1
"BY1",103.184,"H","E2",0,13,"3_inanna","GADA",0
"BY1",153.338,"H","E2",1,9,"2_alam","ALAM",1
"BY1",25.951,"H","E2",2,12,"2_urudu","DUB",1
"BY1",135.294,"H","E2",3,10,"2_duh","LÀL",1
"BY1",122.523,"H","E2",4,15,"4_tu7",355,1
"BY1",235.616,"H","E2",5,0,"0_ca3","SIG",0
"BY1",58.521,"H","E2",6,5,"0_sanga","SANGA",1
"BY1",50.044,"H","E2",7,3,"0_kid","LÍL",1
"BY1",40.648,"H","E2",8,11,"2_gig","GIG",1
"BY1",195.069,"H","E2",9,14,"3_sir3","SAG",1
"BY1",47.113,"H","E2",10,4,"0_pu2","GÍGIR",1
"BY1",49.975,"H","E2",11,1,"0_dam","DAM",1
"BY1",37.415,"H","E2",12,6,"0_sipa","SIPA",1
"BY1",138.878,"H","E2",13,7,"1_ama","AMA",1
"BY1",93.069,"H","E2",14,2,"0_hub","GÙB ",1
"BY1",24.146,"H","E2",15,8,"1_gal","GAL",1
