"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"AX1",111.283,"H","S1",0,0,"0_ance",302,1
"AX1",47.753,"H","S1",1,1,"0_gir4",266,1
"AX1",87.947,"H","S1",2,2,"2_lugal",78,0
"AX1",33.862,"H","E1",0,7,"1_gag",75,1
"AX1",24.725,"H","E1",1,6,"0_ziz2",241,1
"AX1",89.501,"H","E1",2,5,"0_sig2+munus",66,1
"AX1",84.936,"H","E1",3,14,"3_sa5",196,1
"AX1",102.619,"H","E1",4,13,"3_mac2",39,1
"AX1",43.063,"H","E1",5,9,"2_dugud",268,1
"AX1",69.097,"H","E1",6,2,"0_kac4",126,0
"AX1",27.058,"H","E1",7,3,"0_kiri6",353,1
"AX1",166.973,"H","E1",8,0,"0_cudun3",88,1
"AX1",65.676,"H","E1",9,10,"2_gada",157,0
"AX1",54.562,"H","E1",10,8,"1_tur",237,1
"AX1",43.777,"H","E1",11,1,"0_gur",185,1
"AX1",78.338,"H","E1",12,4,"0_nita2",16,1
"AX1",52.658,"H","E1",13,12,"2_nag",231,1
"AX1",31.976,"H","E1",14,11,"2_gir3",301,1
"AX1",97.784,"H","E1",15,15,"4_6",362,1
"AX1",535.936,"Z","S2",0,0,"0_ejir","SI x SA2",0
"AX1",388.521,"Z","S2",1,1,"0_ku7","KU7",1
"AX1",86.084,"Z","S2",2,2,"2_siskur","SISKUR",1
"AX1",99.906,"Z","E2",0,7,"1_ama","AMA",1
"AX1",177.665,"Z","E2",1,5,"0_sanga","SANGA",1
"AX1",108.729,"Z","E2",2,4,"0_pu2","NITA",1
"AX1",116.566,"Z","E2",3,0,"0_ca3","CA3",1
"AX1",83.066,"Z","E2",4,12,"2_urudu","UM",1
"AX1",163.56,"Z","E2",5,13,"3_inanna","URU",0
"AX1",70.056,"Z","E2",6,8,"1_gal","DAG",0
"AX1",105.404,"Z","E2",7,11,"2_gig","GIG",1
"AX1",103.596,"Z","E2",8,6,"0_sipa","SIPAD",1
"AX1",284.895,"Z","E2",9,10,"2_duh","LUNGA",0
"AX1",116.501,"Z","E2",10,14,"3_sir3","KE2C",1
"AX1",247.715,"Z","E2",11,2,"0_hub","KAB",1
"AX1",127.919,"Z","E2",12,15,"4_tu7","TU7",1
"AX1",152.686,"Z","E2",13,3,"0_kid","U2",1
"AX1",70.136,"Z","E2",14,1,"0_dam","DAM",1
"AX1",269.227,"Z","E2",15,9,"2_alam","ALAN",1
