"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"CX3",10.572,"S","S1",0,0,"0_ance","ANŠE",1
"CX3",186.784,"S","S1",1,1,"0_gir4","GIR4",1
"CX3",14.883,"S","S1",2,2,"2_lugal","LUGAL",1
"CX3",6.967,"S","E3",0,10,"2_e2","E2",1
"CX3",205.973,"S","E3",1,9,"2_dug","DUG",1
"CX3",239.154,"S","E3",2,14,"3_zag","ZAG",1
"CX3",9.537,"S","E3",3,7,"1_2","MIN",1
"CX3",5.266,"S","E3",4,11,"2_lal3","BI",1
"CX3",7.125,"S","E3",5,3,"0_gu4","GU4",1
"CX3",108.64,"S","E3",6,1,"0_elam","NIM",1
"CX3",12.696,"S","E3",7,13,"3_sag","SI",1
"CX3",6.519,"S","E3",8,4,"0_hur","HUR",1
"CX3",4.941,"S","E3",9,0,"0_bal","BAL",1
"CX3",17.015,"S","E3",10,8,"1_iku","KAN2",1
"CX3",29.826,"S","E3",11,15,"4_dub","SAG",1
"CX3",6.897,"S","E3",12,2,"0_ezen4","EZEN4",1
"CX3",138.191,"S","E3",13,5,"0_sa","SA",1
"CX3",97.839,"S","E3",14,6,"0_zu9","ZU9",1
"CX3",7.23,"S","E3",15,12,"2_mec","EŠ",1
"CX3",91.378,"Z","S2",0,0,"0_ejir","EGIR",1
"CX3",105.064,"Z","S2",1,1,"0_ku7","KU7",1
"CX3",86.594,"Z","S2",2,2,"2_siskur","SISKUR",1
"CX3",49.866,"Z","E1",0,14,"3_sa5","DIRI",1
"CX3",68.214,"Z","E1",1,5,"0_sig2+munus","SÍG+MUNUS",1
"CX3",501.468,"Z","E1",2,0,"0_cudun3","HUB",0
"CX3",105.582,"Z","E1",3,13,"3_mac2","NAM",1
"CX3",89.714,"Z","E1",4,11,"2_gir3","GÌR",1
"CX3",7.88,"Z","E1",5,9,"2_dugud","GE6",1
"CX3",38.093,"Z","E1",6,6,"0_ziz2","ZÌ",0
"CX3",107.378,"Z","E1",7,2,"0_kac4","KAŠ4",1
"CX3",37.359,"Z","E1",8,10,"2_gada","GU4",0
"CX3",39.196,"Z","E1",9,4,"0_nita2","ÌR",1
"CX3",6.095,"Z","E1",10,3,"0_kiri6","SAR",1
"CX3",6.215,"Z","E1",11,15,"4_6","NINDA",0
"CX3",7.707,"Z","E1",12,7,"1_gag","DÙ",1
"CX3",57.032,"Z","E1",13,1,"0_gur","GUR",1
"CX3",64.537,"Z","E1",14,12,"2_nag","SANGA",1
"CX3",13.979,"Z","E1",15,8,"1_tur","DUMU",1
