"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"BY2",164.655,"Z","S1",0,0,"0_ance","ANCE",1
"BY2",303.127,"Z","S1",1,1,"0_gir4","LIBIR",0
"BY2",217.307,"Z","S1",2,2,"2_lugal","LU3",0
"BY2",124.021,"Z","E3",0,1,"0_elam","DI",0
"BY2",218.453,"Z","E3",1,13,"3_sag","GAD",0
"BY2",177.472,"Z","E3",2,2,"0_ezen4","EZEN4",1
"BY2",76.908,"Z","E3",3,11,"2_lal3","BI",1
"BY2",146.303,"Z","E3",4,6,"0_zu9","ZU9",1
"BY2",146.618,"Z","E3",5,15,"4_dub","GIC",1
"BY2",94.695,"Z","E3",6,0,"0_bal","BAL",1
"BY2",57.459,"Z","E3",7,8,"1_iku","GA2",1
"BY2",51.028,"Z","E3",8,3,"0_gu4","GU4",1
"BY2",155.734,"Z","E3",9,14,"3_zag","ZA3",1
"BY2",181.711,"Z","E3",10,9,"2_dug","RU",0
"BY2",41.901,"Z","E3",11,7,"1_2","MIN",1
"BY2",143.915,"Z","E3",12,10,"2_e2","DU2R",0
"BY2",54.511,"Z","E3",13,12,"2_mec","U3CU",1
"BY2",71.381,"Z","E3",14,4,"0_hur","HUR",1
"BY2",51.47,"Z","E3",15,5,"0_sa","SA",1
"BY2",133.523,"S","S2",0,0,"0_ejir","EGIR",1
"BY2",47.813,"S","S2",1,1,"0_ku7","KU7",1
"BY2",99.156,"S","S2",2,2,"2_siskur","SISKUR",1
"BY2",34.02,"S","E2",0,8,"1_gal","GAL",1
"BY2",94.885,"S","E2",1,3,"0_kid","LI2L",1
"BY2",244.161,"S","E2",2,5,"0_sanga","AMA",0
"BY2",178.984,"S","E2",3,12,"2_urudu","GU3B",0
"BY2",6.201,"S","E2",4,2,"0_hub","GU3B",1
"BY2",138.626,"S","E2",5,14,"3_sir3","EME",1
"BY2",37.489,"S","E2",6,8,"1_gal","GAL",1
"BY2",51.693,"S","E2",7,5,"0_sanga","SANGA",1
"BY2",29.098,"S","E2",8,10,"2_duh","DU8",1
"BY2",66.528,"S","E2",9,1,"0_dam","DAM",1
"BY2",227.302,"S","E2",10,15,"4_tu7","E2LLAG",1
"BY2",24.2,"S","E2",11,3,"0_kid","LI2L",1
"BY2",32.949,"S","E2",12,7,"1_ama","AMA",1
"BY2",31.527,"S","E2",13,4,"0_pu2","GI2GIR",1
"BY2",206.762,"S","E2",14,11,"2_gig","GIG",1
"BY2",32.682,"S","E2",15,6,"0_sipa","SIPA",1
