"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"CX1",160.06,"H","S1",0,0,"0_ance",302,1
"CX1",118.754,"H","S1",1,1,"0_gir4",266,1
"CX1",349.734,"H","S1",2,2,"2_lugal",115,1
"CX1",107.02,"H","E3",0,7,"1_2","MIN",1
"CX1",65.866,"H","E3",1,3,"0_gu4","KAŠ",1
"CX1",261.817,"H","E3",2,0,"0_bal","BAL",1
"CX1",344.409,"H","E3",3,8,"1_iku","IKU",1
"CX1",46.148,"H","E3",4,1,"0_elam","DÌḪ",1
"CX1",227.28,"H","E3",5,13,"3_sag","SI",1
"CX1",163.805,"H","E3",6,6,"0_zu9","ZU₉",1
"CX1",136.928,"H","E3",7,10,"2_e2","NUN",1
"CX1",132.55,"H","E3",8,5,"0_sa","SA",1
"CX1",50.814,"H","E3",9,2,"0_ezen4","EZEN₄",1
"CX1",217.854,"H","E3",10,14,"3_zag","ZÀ/ZAG",1
"CX1",334.732,"H","E3",11,4,"0_hur","GAN",0
"CX1",31.635,"H","E3",12,12,"2_mec","ÙŠU",1
"CX1",95.26,"H","E3",13,11,"2_lal3","PAN",0
"CX1",51.084,"H","E3",14,15,"4_dub","GIŠ",1
"CX1",186.633,"H","E3",15,9,"2_dug","DUG",1
"CX1",413.445,"Z","S2",0,0,"0_ejir","EGIR",1
"CX1",239.04,"Z","S2",1,1,"0_ku7","KU7",1
"CX1",386.327,"Z","S2",2,2,"2_siskur","SUHUR",0
"CX1",350.399,"Z","E1",0,14,"3_sa5","IB",0
"CX1",241.239,"Z","E1",1,13,"3_mac2","TI",1
"CX1",305.042,"Z","E1",2,5,"0_sig2+munus","SI2G+MUNUS",1
"CX1",141.964,"Z","E1",3,2,"0_kac4","KAC4",1
"CX1",186.785,"Z","E1",4,7,"1_gag","NA",0
"CX1",81.21,"Z","E1",5,4,"0_nita2","ARAD",1
"CX1",119.072,"Z","E1",6,15,"4_6","I7",0
"CX1",61.212,"Z","E1",7,3,"0_kiri6","KIRI6",1
"CX1",285.277,"Z","E1",8,0,"0_cudun3","TU3M",0
"CX1",146.999,"Z","E1",9,10,"2_gada","GUR",0
"CX1",71.726,"Z","E1",10,6,"0_ziz2","MA",1
"CX1",188.282,"Z","E1",11,12,"2_nag","RA",0
"CX1",80.57,"Z","E1",12,8,"1_tur","DUMU",1
"CX1",110.936,"Z","E1",13,1,"0_gur","GUR",1
"CX1",60.957,"Z","E1",14,11,"2_gir3","GI3R",1
"CX1",65.695,"Z","E1",15,9,"2_dugud","GE6",1
