"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"AX2",122.03,"S","S1",0,0,"0_ance","ANŠE",1
"AX2",84.295,"S","S1",1,1,"0_gir4","GIR₄",1
"AX2",363.646,"S","S1",2,2,"2_lugal","LÚ",0
"AX2",49.892,"S","E1",0,12,"2_nag","NAG",1
"AX2",99.551,"S","E1",1,7,"1_gag","DÙ",1
"AX2",45.543,"S","E1",2,9,"2_dugud","GE₆",1
"AX2",400.294,"S","E1",3,5,"0_sig2+munus","UKU",0
"AX2",107.711,"S","E1",4,13,"3_mac2","TÌL",1
"AX2",469.898,"S","E1",5,14,"3_sa5","DIRI",1
"AX2",36.425,"S","E1",6,4,"0_nita2","ARAD",1
"AX2",82.27,"S","E1",7,10,"2_gada","GIŠ",0
"AX2",285.294,"S","E1",8,0,"0_cudun3","ŠÙDUL",1
"AX2",96.111,"S","E1",9,15,"4_6","ZA",1
"AX2",48.464,"S","E1",10,11,"2_gir3","GÌR(I)",1
"AX2",23.888,"S","E1",11,6,"0_ziz2","ZÍZ",1
"AX2",53.019,"S","E1",12,1,"0_gur","GUR",1
"AX2",84.154,"S","E1",13,2,"0_kac4","KAŠ₄",1
"AX2",336.673,"S","E1",14,3,"0_kiri6","KIRI₆",1
"AX2",72.131,"S","E1",15,8,"1_tur","GAL",0
"AX2",485.147,"Z","S2",0,0,"0_ejir","EGIR",1
"AX2",224.237,"Z","S2",1,1,"0_ku7","AL",1
"AX2",558.17,"Z","S2",2,2,"2_siskur","SISKUR",1
"AX2",90.972,"Z","E2",0,8,"1_gal","GAL",1
"AX2",148.582,"Z","E2",1,0,"0_ca3","CA3",1
"AX2",112.94,"Z","E2",2,1,"0_dam","EREC",0
"AX2",84.666,"Z","E2",3,15,"4_tu7","KAM",1
"AX2",487.347,"Z","E2",4,14,"3_sir3","DU11",1
"AX2",144.25,"Z","E2",5,12,"2_urudu","DU",1
"AX2",134.163,"Z","E2",6,11,"2_gig","GIG",1
"AX2",181.667,"Z","E2",7,3,"0_kid","E2",0
"AX2",634.684,"Z","E2",8,2,"0_hub","GA2B",1
"AX2",159.635,"Z","E2",9,9,"2_alam","ALAM",1
"AX2",177.471,"Z","E2",10,6,"0_sipa","SIPA",1
"AX2",84.361,"Z","E2",11,4,"0_pu2","NITA",1
"AX2",264.421,"Z","E2",12,7,"1_ama","AMA",1
"AX2",521.582,"Z","E2",13,13,"3_inanna","GUR10",0
"AX2",378.835,"Z","E2",14,5,"0_sanga","A3KA",1
"AX2",211.841,"Z","E2",15,10,"2_duh","BI",0
